Категория,Значение
D,15.316855163136921
B,0.3276979300208205
A,20.69697468501882
D,75.47719277002396
C,97.67571607378864
C,48.991025123681034
D,65.11031626925525
C,29.145808447085997
A,83.46422707282845
C,90.88166410652207
B,65.25483368188583
C,72.3370751077794
C,14.068780310287977
B,2.294350883184526
A,32.80527917353241
B,77.71354367107222
C,5.034325347301616
C,82.90498942281083
B,9.46405390720595
C,4.794850281815655
C,8.19942331275364
A,69.48888618845486
B,24.1966965774323
D,96.36834365837568
A,58.46050454410124
C,88.49846319295503
B,14.780885660542143
A,40.94172997412293
D,61.38798316484456
B,73.45779565395422
D,46.66990619276089
A,51.525352597637074
B,34.61777946689424
D,20.573154804977445
C,46.338455851687435
A,89.08845870520045
D,95.24574487934471
A,70.80126156258476
C,22.708181485852073
D,75.22169245532298
C,19.70782567185512
B,86.33768866240547
D,4.077674786202823
A,93.35698639896613
C,46.32980459259127
B,52.70722574797038
A,41.59454171050976
D,79.50026068842058
B,75.366433717704
A,71.39018575815554
C,19.064726887146477
A,54.358104460953314
D,44.28867038094779
B,12.314074170862865
D,27.43653800066559
B,78.70391008443238
D,53.4604630391888
D,19.598814926164
D,91.91213350789774
B,33.95281277084958
A,89.5947251410685
A,0.23951804308549596
D,43.56147444762253
B,51.89888577835682
A,13.993386140076758
D,47.27841305240774
C,72.82495086348982
C,88.0711799753024
A,7.820716308520326
C,82.46545993813955
C,37.39251815720463
A,51.878421860881154
A,17.321051376430894
C,81.22249416839327
D,4.958669094265189
B,29.40425722174742
A,62.71167807622863
C,26.643128525592175
C,1.200760705411985
D,8.803902233282923
C,14.158002157338235
B,53.8942362648105
D,28.425544470076368
D,88.87534324035708
A,63.811386261867774
A,47.16265877464158
D,96.42154353798217
A,24.86374572767456
B,35.92397774945451
D,90.47385267738673
C,97.09257246148064
D,49.95593364855362
D,91.55088077979329
C,36.13857951058591
D,26.76014001063872
C,13.40376988705555
B,41.69621483422531
B,7.641826009939634
A,22.264907938460134
D,41.13720147356427
